2026-07-09 18:01:04 | INFO     | app | app:34 | ============================================================
2026-07-09 18:01:04 | INFO     | app | app:35 | FleetVision AI Service starting...
2026-07-09 18:01:04 | INFO     | app | app:36 | ============================================================
2026-07-09 18:01:04 | INFO     | app | app:40 | Initializing AI detectors...
2026-07-09 18:01:06 | INFO     | app | app:42 | Detectors loaded: ['face', 'seatbelt', 'fatigue', 'phone', 'distraction']
2026-07-09 18:01:06 | INFO     | services.stream_service | stream_service:66 | Stream initialized from source: 0
2026-07-09 18:01:09 | WARNING  | services.communication_service | communication_service:45 | Backend is not reachable — results will be queued locally
2026-07-09 18:01:09 | INFO     | app | app:65 | Continuous inference loop started
2026-07-09 18:01:09 | INFO     | app | app:67 | FleetVision AI Service ready
2026-07-09 18:01:09 | INFO     | app | app:147 | Continuous inference started (interval=0.5s)
2026-07-09 18:01:10 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:10 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:11 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:11 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:12 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:12 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:13 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:13 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:14 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:14 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:15 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:15 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:16 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
2026-07-09 18:01:16 | WARNING  | app | app:156 | No frame available — waiting for stream...
2026-07-09 18:01:17 | WARNING  | services.stream_service | stream_service:87 | End of stream or read error
